"year","sector_name","moving_average"
"2016","Public administration [91]","137250333333.33333333"
"2016","Mining, quarrying, and oil and gas extraction [21]","89796000000.00000000"
"2016","Accommodation and food services [72]","43736666666.66666667"
"2016","Retail trade [44-45]","98068333333.33333333"
"2016","Educational services [61]","106205000000.00000000"
"2016","Transportation and warehousing [48-49]","88014333333.33333333"
"2016","Finance and insurance [52]","128620000000.00000000"
"2016","Agriculture, forestry, fishing and hunting [11]","38464666666.66666667"
"2017","Public administration [91]","142924333333.33333333"
"2017","Accommodation and food services [72]","46168666666.66666667"
"2017","Construction [23]","150903000000.00000000"
"2017","Manufacturing [31-33]","209660000000.00000000"
"2017","Mining, quarrying, and oil and gas extraction [21]","99532000000.00000000"
"2017","Retail trade [44-45]","101889333333.33333333"
"2017","Professional, scientific and technical services [54]","119771000000.00000000"
"2017","Transportation and warehousing [48-49]","92505666666.66666667"
"2017","Agriculture, forestry, fishing and hunting [11]","38727333333.33333333"
"2017","Finance and insurance [52]","133759333333.33333333"
"2017","Health care and social assistance [62]","149257333333.33333333"
"2017","Real estate and rental and leasing [53]","258022333333.33333333"
"2017","Business, building and other support services [55, 56]","65867666666.66666667"
"2017","Other services (except public administration) [81]","40740666666.66666667"
"2017","Educational services [61]","109554000000.00000000"
"2017","Information, culture and recreation [51, 71]","77326666666.66666667"
"2017","Utilities [22]","45376333333.33333333"
"2018","Business, building and other support services [55, 56]","65974333333.33333333"
"2018","Public administration [91]","149343333333.33333333"
"2018","Utilities [22]","47470666666.66666667"
"2018","Agriculture, forestry, fishing and hunting [11]","39241666666.66666667"
"2018","Information, culture and recreation [51, 71]","81336333333.33333333"
"2018","Accommodation and food services [72]","48463333333.33333333"
"2018","Other services (except public administration) [81]","42605333333.33333333"
"2018","Mining, quarrying, and oil and gas extraction [21]","115168666666.66666667"
"2018","Real estate and rental and leasing [53]","269246333333.33333333"
"2018","Professional, scientific and technical services [54]","127159666666.66666667"
"2018","Health care and social assistance [62]","156058333333.33333333"
"2018","Transportation and warehousing [48-49]","98691666666.66666667"
"2018","Manufacturing [31-33]","214346000000.00000000"
"2018","Educational services [61]","113323000000.00000000"
"2018","Retail trade [44-45]","105204333333.33333333"
"2018","Finance and insurance [52]","140485000000.00000000"
"2018","Construction [23]","156493000000.00000000"
"2019","Educational services [61]","116781666666.66666667"
"2019","Accommodation and food services [72]","43491000000.00000000"
"2019","Utilities [22]","49730000000.00000000"
"2019","Agriculture, forestry, fishing and hunting [11]","39373333333.33333333"
"2019","Retail trade [44-45]","106651000000.00000000"
"2019","Manufacturing [31-33]","211972333333.33333333"
"2019","Real estate and rental and leasing [53]","281225333333.33333333"
"2019","Professional, scientific and technical services [54]","133477000000.00000000"
"2019","Construction [23]","158495666666.66666667"
"2019","Information, culture and recreation [51, 71]","81932666666.66666667"
"2019","Public administration [91]","154587666666.66666667"
